rank,player_name,team,position,player_projection,adp
1,Bijan Robinson,ATL,RB,355.72,2.5
2,Puka Nacua,LAR,WR,335.91,3.3
3,Jahmyr Gibbs,DET,RB,361.03,4.6
4,Jaxon Smith-Njigba,SEA,WR,315.34,3.7
5,Ja'Marr Chase,CIN,WR,326.73,1.3
6,Zay Flowers,BAL,WR,237.45,38.8
7,Christian McCaffrey,SF,RB,354.19,7.9
8,Amon-Ra St. Brown,DET,WR,311.12,7.2
9,CeeDee Lamb,DAL,WR,292.96,7.8
10,Justin Jefferson,MIN,WR,287.75,8.8
11,Jonathan Taylor,IND,RB,306.43,10.3
12,Saquon Barkley,PHI,RB,280.34,27.7
13,Ashton Jeanty,LV,RB,279.26,18.9
14,James Cook,BUF,RB,279.91,6
15,Jeremiyah Love,ARI,RB,274.93,41.1
16,Malik Nabers,NYG,WR,281.88,15.5
17,Drake London,ATL,WR,293.02,11.7
18,Trey McBride,ARI,TE,269.9,17.6
19,Nico Collins,HOU,WR,254.03,15.3
20,Brock Bowers,LV,TE,241.39,20.8
21,De'Von Achane,MIA,RB,290.34,17.6
22,Josh Allen,BUF,QB,359.93,25.4
23,Josh Jacobs,GB,RB,273.33,37
24,Omarion Hampton,LAC,RB,269.35,25.8
25,Derrick Henry,BAL,RB,278.05,41.6
26,Kenneth Walker,KC,RB,263.73,10.5
27,A.J. Brown,PHI,WR,247,20.4
28,Bucky Irving,TB,RB,223.03,51
29,Kyren Williams,LAR,RB,249.64,48.5
30,Chase Brown,CIN,RB,266.89,22.4
31,George Pickens,DAL,WR,238.02,18.1
32,Tee Higgins,CIN,WR,212.67,32.5
33,Breece Hall,NYJ,RB,270.42,42.8
34,Rashee Rice,KC,WR,298.06,15.3
35,Garrett Wilson,NYJ,WR,252.59,31.9
36,Lamar Jackson,BAL,QB,313.54,29
37,Ladd McConkey,LAC,WR,210.91,39.9
38,Chris Olave,NO,WR,251.04,21.8
39,Tetairoa McMillan,CAR,WR,223.08,28.1
40,Travis Etienne,NO,RB,229.35,16.2
41,Luther Burden,CHI,WR,196.55,19.8
42,TreVeyon Henderson,NE,RB,205.87,61.5
43,Javonte Williams,DAL,RB,267.78,46.2
44,Davante Adams,LAR,WR,230.05,45
45,Carnell Tate,TEN,WR,206.62,81.4
46,DeVonta Smith,PHI,WR,241.2,29.6
47,Joe Burrow,CIN,QB,298.27,43.1
48,Terry McLaurin,WAS,WR,222.36,45
49,Jaylen Waddle,DEN,WR,214.89,41.4
50,Jameson Williams,DET,WR,201.08,51
51,Colston Loveland,CHI,TE,196.53,44.4
52,Brian Thomas,JAX,WR,173.45,38.9
53,Mike Evans,SF,WR,189.62,48.8
54,Drake Maye,NE,QB,307.13,35.5
55,Emeka Egbuka,TB,WR,205.15,48.2
56,Makai Lemon,PHI,WR,168.36,98.1
57,David Montgomery,HOU,RB,195.52,64.2
58,Tyler Warren,IND,TE,203.39,47.1
59,Jayden Daniels,WAS,QB,321.06,51
60,Bhayshul Tuten,JAX,RB,210.54,73.2
61,Cam Skattebo,NYG,RB,238.88,56.5
62,DJ Moore,BUF,WR,203.01,56.6
63,Harold Fannin,CLE,TE,192.54,77
64,RJ Harvey,DEN,RB,171.17,75.9
65,Jordyn Tyson,NO,WR,193.24,93.6
66,Quinshon Judkins,CLE,RB,225.65,64.8
67,Jalen Hurts,PHI,QB,320.11,57.8
68,Christian Watson,GB,WR,191,58.4
69,D'Andre Swift,CHI,RB,217.83,66.3
70,Michael Wilson,ARI,WR,173.41,75.5
71,Marvin Harrison,ARI,WR,200.86,32.6
72,DK Metcalf,PIT,WR,197.25,74
73,Rome Odunze,CHI,WR,203.12,60.7
74,Tucker Kraft,GB,TE,157.2,69.8
75,Alec Pierce,IND,WR,197.47,82.2
76,Courtland Sutton,DEN,WR,196.59,70.2
77,Kyle Monangai,CHI,RB,164.96,97.2
78,Chuba Hubbard,CAR,RB,216.54,74.5
79,Sam LaPorta,DET,TE,180.9,82.7
80,Kyle Pitts,ATL,TE,193.42,82.9
81,Parker Washington,JAX,WR,194.36,95.2
82,Jaxson Dart,NYG,QB,298.44,73.3
83,Rico Dowdle,PIT,RB,185.92,85.5
84,Jaylen Warren,PIT,RB,191.95,77.8
85,Caleb Williams,CHI,QB,268.81,77.2
86,Rhamondre Stevenson,NE,RB,193.7,85.2
87,Jakobi Meyers,JAX,WR,198.11,77.2
88,Ricky Pearsall,SF,WR,159.84,92
89,Oronde Gadsden,LAC,TE,149.47,103.5
90,Blake Corum,LAR,RB,155.83,113.3
91,Wan'Dale Robinson,TEN,WR,178.64,93
92,Quentin Johnston,LAC,WR,167.7,119.7
93,George Kittle,SF,TE,140.61,122
94,Chris Godwin,TB,WR,192.51,71.6
95,Trevor Lawrence,JAX,QB,286.14,79.3
96,Tony Pollard,TEN,RB,200.9,89
97,Jordan Addison,MIN,WR,176.89,99.5
98,Patrick Mahomes,KC,QB,293.85,101.3
99,Justin Herbert,LAC,QB,269.82,73.9
100,Dak Prescott,DAL,QB,286.22,84.9
101,Jake Ferguson,DAL,TE,156.46,110
102,Michael Pittman,PIT,WR,199.2,89.5
103,J.K. Dobbins,DEN,RB,178.14,111
104,Jadarian Price,SEA,RB,189.56,81.3
105,Dalton Kincaid,BUF,TE,150.43,109.5
106,Kenyon Sadiq,NYJ,TE,140.37,215.2
107,Romeo Doubs,NE,WR,163.36,123.8
108,Bo Nix,DEN,QB,284.57,103.4
109,Matthew Stafford,LAR,QB,278.98,101.4
110,Travis Kelce,KC,TE,173.61,111.5
111,KC Concepcion,CLE,WR,167.18,138.9
112,Mark Andrews,BAL,TE,163.73,148.2
113,Brenton Strange,JAX,TE,139.88,143.7
114,Zach Charbonnet,SEA,RB,139.64,135.3
115,Josh Downs,IND,WR,160.5,98
116,Xavier Worthy,KC,WR,169.3,127.5
117,Brock Purdy,SF,QB,298.7,93.8
118,Jayden Reed,GB,WR,165.95,104.9
119,Aaron Jones,MIN,RB,211.02,106.6
120,Jared Goff,DET,QB,262.5,114
121,Baker Mayfield,TB,QB,260,122
123,James Conner,ARI,RB,13.34,156.6
124,Brian Robinson,ATL,RB,93.06,170.1
125,Jordan Mason,MIN,RB,131.43,133.9
126,Tyler Allgeier,ARI,RB,82.71,132.4
127,Kenneth Gainwell,TB,RB,180.12,102
128,Dallas Goedert,PHI,TE,171.93,132.5
129,Isaiah Likely,NYG,TE,154.43,117.8
T130,Juwan Johnson,NO,TE,155.63,140.9
T130,Hunter Henry,NE,TE,143.77,163.8
132,Jayden Higgins,HOU,WR,144.34,124.2
133,Jacory Croskey-Merritt,WAS,RB,126.86,123
134,Jonah Coleman,DEN,RB,9.11,163.6
135,Khalil Shakir,BUF,WR,184,112.8
136,Jordan Love,GB,QB,253.14,119.5
137,Denzel Boston,CLE,WR,127.01,172.8
138,Jalen Coker,CAR,WR,153.34,133.2
139,Dalton Schultz,HOU,TE,135.29,174.1
140,Rachaad White,WAS,RB,186.44,118.8
142,Matthew Golden,GB,WR,161.76,131.4
143,Woody Marks,HOU,RB,129.56,143.8
144,Tyler Shough,NO,QB,276.21,120.9
145,C.J. Stroud,HOU,QB,254.71,136.5
146,Tyjae Spears,TEN,RB,157.55,134.6
147,Omar Cooper,NYJ,WR,151.06,176.1
148,Kyler Murray,MIN,QB,278.4,114.9
149,Tyrone Tracy,NYG,RB,79.2,134.8
150,Malik Willis,MIA,QB,243.98,120.8
152,Chris Rodriguez,JAX,RB,74.26,143.2
153,T.J. Hockenson,MIN,TE,163.81,186.6
154,AJ Barner,SEA,TE,110.47,208.9
155,Emmett Johnson,KC,RB,22.42,205.8
156,Travis Hunter,JAX,WR,73.97,162.4
157,Keaton Mitchell,LAC,RB,13.25,155.7
158,Alvin Kamara,NO,RB,134.85,146.3
159,Rashid Shaheed,SEA,WR,140.48,149.2
160,Kayshon Boutte,NE,WR,55.3,179.5
161,Jerry Jeudy,CLE,WR,134.2,155.3
162,Jalen McMillan,TB,WR,130.59,172.1
163,Isiah Pacheco,DET,RB,132.5,151.1
165,Eli Stowers,PHI,TE,36.86,268.9
166,Dylan Sampson,CLE,RB,89.66,145.2
167,Trey Benson,ARI,RB,74.85,242.2
168,Bryce Young,CAR,QB,231.54,148.4
170,Tank Bigsby,PHI,RB,59.33,185.3
184,Sam Darnold,SEA,QB,238.72,139.1
185,Mike Washington,LV,RB,64.43,189.1
187,Fernando Mendoza,LV,QB,186.48,232.2
188,Jonathon Brooks,CAR,RB,115.25,154.3
189,Chig Okonkwo,WAS,TE,123.75,176.3
190,Antonio Williams,WAS,WR,88.75,214.1
193,Tank Dell,HOU,WR,107.72,238.8
194,Cam Ward,TEN,QB,225.39,155.6
195,Sean Tucker,TB,RB,27.27,223.8
196,Aaron Rodgers,PIT,QB,220.16,259.6
197,Daniel Jones,IND,QB,262.41,160.3
198,Michael Penix,ATL,QB,117.18,253.6
199,Jalen Nailor,LV,WR,124.4,222
T200,Emanuel Wilson,SEA,RB,12.49,173.1
203,Braelon Allen,NYJ,RB,94.64,161.8
204,Dontayvion Wicks,PHI,WR,55.82,209.5
205,Darnell Washington,PIT,TE,72.96,305.9
206,Marvin Mims,DEN,WR,67.56,249.1
207,Ja'Kobi Lane,BAL,WR,60.76,264.1
208,Cade Otton,TB,TE,108.39,240.5
209,Mason Taylor,NYJ,TE,64.33,244.6
210,Pat Bryant,DEN,WR,61.11,199.1
211,Colby Parkinson,LAR,TE,71.42,258.9
212,Gunnar Helm,TEN,TE,129.4,229.6
213,Tre' Harris,LAC,WR,112.44,177.3
214,Chimere Dike,TEN,WR,30.83,208.1
215,Terrance Ferguson,LAR,TE,88.6,244.1
216,Kimani Vidal,LAC,RB,91.14,199.4
217,Adonai Mitchell,NYJ,WR,70.07,170.7
218,Zachariah Branch,ATL,WR,57.47,253.1
219,Chris Bell,MIA,WR,118.73,237.6
220,Isaac TeSlaa,DET,WR,60.23,214.8
221,Geno Smith,NYJ,QB,228.63,243
222,Jacoby Brissett,ARI,QB,207.66,177.6
223,Jake Tonges,SF,TE,62.57,274.2
224,Troy Franklin,DEN,WR,48.85,190.4
225,Theo Johnson,NYG,TE,53.11,265.9
226,Tre Tucker,LV,WR,156.38,197.6
227,Calvin Ridley,TEN,WR,156.73,208.9
228,Pat Freiermuth,PIT,TE,146.69,257.6
229,Malik Washington,MIA,WR,109.46,246.1
230,Elijah Sarratt,BAL,WR,40.29,257.9
231,Germie Bernard,PIT,WR,128.26,235.9
232,Darnell Mooney,NYG,WR,94.94,210
233,Tua Tagovailoa,ATL,QB,123.83,291.7
234,Shedeur Sanders,CLE,QB,108.71,278.1
235,Evan Engram,DEN,TE,102.1,251.2
236,Chris Brazzell,CAR,WR,51.04,260.1
237,Kaleb Johnson,PIT,RB,4.82,247.9
238,Cooper Kupp,SEA,WR,95,251.9
239,Christian Kirk,SF,WR,82.11,246.7
241,Ryan Flournoy,DAL,WR,89.3,209.6
242,Tory Horton,SEA,WR,63.4,257.1
243,Jaydon Blue,DAL,RB,56.02,271.9
248,Kendre Miller,NO,RB,15.66,260.4
259,Luke Musgrave,GB,TE,31.6,350.8
270,DeMario Douglas,NE,WR,17.98,335
273,Michael Mayer,LV,TE,81.13,337.6
283,Ted Hurst,TB,WR,67.06,277.1
284,Max Klare,LAR,TE,9.41,325.5
286,Ray Davis,BUF,RB,37.88,198.5
292,Jordan James,SF,RB,65.28,277.2
293,KaVontae Turpin,DAL,WR,30.98,309
295,Skyler Bell,BUF,WR,59.37,266.9
296,Mike Gesicki,CIN,TE,115.14,276.4
297,Jaylen Wright,MIA,RB,39.58,224.4
302,Greg Dulcich,MIA,TE,115.92,241.9
304,Devaughn Vele,NO,WR,125.81,283.7
305,Jaylin Noel,HOU,WR,21.83,187.7
306,Ty Simpson,LAR,QB,9.67,320
307,Keon Coleman,BUF,WR,74.59,259
308,Dawson Knox,BUF,TE,66.28,350.6
309,Rashod Bateman,BAL,WR,49.38,243.1
310,Justice Hill,BAL,RB,111.56,275.3
312,Elijah Arroyo,SEA,TE,58.71,314.9
313,Tyler Higbee,LAR,TE,45,306.8
315,J.J. McCarthy,MIN,QB,9.83,311
316,Hollywood Brown,PHI,WR,67.75,293.8
317,Brashard Smith,KC,RB,44.81,260.9
318,LeQuint Allen,JAX,RB,54.15,274.1
319,Ollie Gordon,MIA,RB,30.86,244.5
328,Tanner McKee,PHI,QB,9.46,
354,Malik Davis,DAL,RB,25.09,300.9
367,Deshaun Watson,CLE,QB,117.43,290.2